elevator,reason,out_of_service,first_missed,estimated_return,difference (min),duration (min)
EL223,Under Investigation,Fri Mar 16 2018 04:13:00 GMT-0400 (EDT),Sat Mar 17 2018 02:57:08 GMT-0400 (EDT),Fri Mar 16 2018 13:00:00 GMT-0400 (EDT),837.1337333333333,1364.1337333333333
EL111,Maintenance,Fri Mar 16 2018 06:53:00 GMT-0400 (EDT),Fri Mar 16 2018 10:52:07 GMT-0400 (EDT),Fri Mar 16 2018 15:00:00 GMT-0400 (EDT),-247.87168333333332,239.12831666666668
EL413,Under Investigation,Fri Mar 16 2018 06:55:00 GMT-0400 (EDT),Fri Mar 16 2018 10:00:06 GMT-0400 (EDT),Fri Mar 16 2018 15:00:00 GMT-0400 (EDT),-299.89770000000004,185.1023
EL127,Under Investigation,Fri Mar 16 2018 07:59:00 GMT-0400 (EDT),Fri Mar 16 2018 14:21:08 GMT-0400 (EDT),Fri Mar 16 2018 16:00:00 GMT-0400 (EDT),-98.86091666666667,382.13908333333336
EL127,Maintenance,Fri Mar 16 2018 14:51:00 GMT-0400 (EDT),Fri Mar 16 2018 15:41:09 GMT-0400 (EDT),Fri Mar 16 2018 17:00:00 GMT-0400 (EDT),-78.84660000000001,50.153400000000005
EL200X,Repair,Fri Mar 16 2018 09:25:00 GMT-0400 (EDT),Fri Mar 16 2018 18:23:08 GMT-0400 (EDT),Fri Mar 16 2018 18:00:00 GMT-0400 (EDT),23.146283333333333,538.1462833333333
EL334,Under Investigation,Fri Mar 16 2018 10:45:00 GMT-0400 (EDT),Fri Mar 16 2018 13:23:08 GMT-0400 (EDT),Fri Mar 16 2018 19:00:00 GMT-0400 (EDT),-336.86260000000004,158.1374
EL463,Under Investigation,Fri Mar 16 2018 16:18:00 GMT-0400 (EDT),Fri Mar 16 2018 16:54:07 GMT-0400 (EDT),Fri Mar 16 2018 20:00:00 GMT-0400 (EDT),-185.86811666666665,36.131883333333334
EL304,Under Investigation,Fri Mar 16 2018 11:49:00 GMT-0400 (EDT),Fri Mar 16 2018 13:02:07 GMT-0400 (EDT),Fri Mar 16 2018 20:00:00 GMT-0400 (EDT),-417.8729666666667,73.12703333333334
EL303,Repair,Fri Mar 16 2018 14:48:00 GMT-0400 (EDT),Fri Mar 16 2018 19:22:07 GMT-0400 (EDT),Fri Mar 16 2018 21:00:00 GMT-0400 (EDT),-97.87008333333333,274.12991666666665
EL462,Under Investigation,Fri Mar 16 2018 14:30:00 GMT-0400 (EDT),Fri Mar 16 2018 16:52:08 GMT-0400 (EDT),Fri Mar 16 2018 21:00:00 GMT-0400 (EDT),-247.86588333333333,142.13411666666667
EL142,Repair,Fri Mar 16 2018 14:05:00 GMT-0400 (EDT),Fri Mar 16 2018 20:30:07 GMT-0400 (EDT),Fri Mar 16 2018 21:00:00 GMT-0400 (EDT),-29.87315,385.12685
EL145,Under Investigation,Fri Mar 16 2018 14:00:00 GMT-0400 (EDT),Fri Mar 16 2018 19:57:08 GMT-0400 (EDT),Fri Mar 16 2018 21:00:00 GMT-0400 (EDT),-62.859116666666665,357.14088333333336
EL109,Under Investigation,Fri Mar 16 2018 14:15:00 GMT-0400 (EDT),Fri Mar 16 2018 15:57:08 GMT-0400 (EDT),Fri Mar 16 2018 22:00:00 GMT-0400 (EDT),-362.8581833333334,102.14181666666667
EL443,Repair,Fri Mar 16 2018 13:45:00 GMT-0400 (EDT),Fri Mar 16 2018 18:06:08 GMT-0400 (EDT),Fri Mar 16 2018 22:00:00 GMT-0400 (EDT),-233.85413333333332,261.1458666666667
EL107,Under Investigation,Fri Mar 16 2018 13:25:00 GMT-0400 (EDT),Fri Mar 16 2018 15:59:07 GMT-0400 (EDT),Fri Mar 16 2018 22:00:00 GMT-0400 (EDT),-360.87111666666664,154.12888333333333
EL195,Under Investigation,Fri Mar 16 2018 13:18:00 GMT-0400 (EDT),Fri Mar 16 2018 13:47:08 GMT-0400 (EDT),Fri Mar 16 2018 22:00:00 GMT-0400 (EDT),-492.8593166666667,29.140683333333335
EL498,Under Investigation,Fri Mar 16 2018 13:09:00 GMT-0400 (EDT),Fri Mar 16 2018 18:38:08 GMT-0400 (EDT),Fri Mar 16 2018 22:00:00 GMT-0400 (EDT),-201.86115,329.13885
EL107,Under Investigation,Thu Mar 15 2018 16:39:00 GMT-0400 (EDT),Thu Mar 15 2018 19:37:08 GMT-0400 (EDT),Sat Mar 17 2018 01:00:00 GMT-0400 (EDT),-1762.8638166666667,178.13618333333335
EL442,Repair,Fri Mar 16 2018 18:10:00 GMT-0400 (EDT),Fri Mar 16 2018 19:36:08 GMT-0400 (EDT),Sat Mar 17 2018 02:00:00 GMT-0400 (EDT),-383.86571666666663,86.13428333333333
EL443,Repair,Fri Mar 16 2018 18:05:00 GMT-0400 (EDT),Fri Mar 16 2018 18:17:08 GMT-0400 (EDT),Sat Mar 17 2018 02:00:00 GMT-0400 (EDT),-462.86081666666666,12.139183333333333
EL308,Under Investigation,Fri Mar 16 2018 18:01:00 GMT-0400 (EDT),Fri Mar 16 2018 20:17:08 GMT-0400 (EDT),Sat Mar 17 2018 02:00:00 GMT-0400 (EDT),-342.85473333333334,136.14526666666669
EL128,Under Investigation,Fri Mar 16 2018 17:36:00 GMT-0400 (EDT),Fri Mar 16 2018 20:41:10 GMT-0400 (EDT),Sat Mar 17 2018 02:00:00 GMT-0400 (EDT),-318.8245,185.1755
EL280,Under Investigation,Fri Mar 16 2018 17:19:00 GMT-0400 (EDT),Fri Mar 16 2018 21:03:09 GMT-0400 (EDT),Sat Mar 17 2018 02:00:00 GMT-0400 (EDT),-296.8494666666667,224.15053333333333
EL409,Under Investigation,Fri Mar 16 2018 18:19:00 GMT-0400 (EDT),Fri Mar 16 2018 21:55:09 GMT-0400 (EDT),Sat Mar 17 2018 03:00:00 GMT-0400 (EDT),-304.8469666666667,216.15303333333335
EL340,Under Investigation,Fri Mar 16 2018 19:15:00 GMT-0400 (EDT),Fri Mar 16 2018 22:46:08 GMT-0400 (EDT),Sat Mar 17 2018 04:00:00 GMT-0400 (EDT),-313.8546833333333,211.14531666666664
EL437,Under Investigation,Fri Mar 16 2018 22:19:00 GMT-0400 (EDT),Sat Mar 17 2018 02:18:07 GMT-0400 (EDT),Sat Mar 17 2018 06:00:00 GMT-0400 (EDT),-221.87398333333334,239.12601666666666
EL221,Under Investigation,Fri Mar 16 2018 22:32:00 GMT-0400 (EDT),Fri Mar 16 2018 23:41:09 GMT-0400 (EDT),Sat Mar 17 2018 07:00:00 GMT-0400 (EDT),-438.8351333333333,69.16486666666667
EL142,Under Investigation,Fri Mar 16 2018 23:55:00 GMT-0400 (EDT),Sat Mar 17 2018 09:41:08 GMT-0400 (EDT),Sat Mar 17 2018 08:00:00 GMT-0400 (EDT),101.13825,586.13825
EL719,Under Investigation,Fri Mar 16 2018 23:39:00 GMT-0400 (EDT),Sat Mar 17 2018 04:31:07 GMT-0400 (EDT),Sat Mar 17 2018 08:00:00 GMT-0400 (EDT),-208.86965,292.13035
EL220,Repair,Sat Mar 17 2018 01:09:00 GMT-0400 (EDT),Sat Mar 17 2018 01:54:07 GMT-0400 (EDT),Sat Mar 17 2018 09:00:00 GMT-0400 (EDT),-425.8753666666667,45.124633333333335
EL333,Under Investigation,Sat Mar 17 2018 00:14:00 GMT-0400 (EDT),Sat Mar 17 2018 03:03:06 GMT-0400 (EDT),Sat Mar 17 2018 09:00:00 GMT-0400 (EDT),-356.889,169.111
EL111,Repair,Sat Mar 17 2018 06:40:00 GMT-0400 (EDT),Sat Mar 17 2018 11:41:07 GMT-0400 (EDT),Sat Mar 17 2018 10:00:00 GMT-0400 (EDT),101.1245,301.1245
EL377,Inspection,Sat Mar 17 2018 05:12:00 GMT-0400 (EDT),Sat Mar 17 2018 05:47:08 GMT-0400 (EDT),Sat Mar 17 2018 10:00:00 GMT-0400 (EDT),-252.86103333333332,35.13896666666667
EL716,Maintenance,Sat Mar 17 2018 04:50:00 GMT-0400 (EDT),Sat Mar 17 2018 09:53:07 GMT-0400 (EDT),Sat Mar 17 2018 10:00:00 GMT-0400 (EDT),-6.871466666666667,303.12853333333334
EL732,Maintenance,Sat Mar 17 2018 04:30:00 GMT-0400 (EDT),Sat Mar 17 2018 06:36:07 GMT-0400 (EDT),Sat Mar 17 2018 10:00:00 GMT-0400 (EDT),-203.8813,126.1187
EL188,Maintenance,Sat Mar 17 2018 04:19:00 GMT-0400 (EDT),Sat Mar 17 2018 09:53:07 GMT-0400 (EDT),Sat Mar 17 2018 10:00:00 GMT-0400 (EDT),-6.871466666666667,334.12853333333334
